40.000000
R    83 -180.000   20.000    0.020
R    84 -180.000   20.000    0.020
R    85 -180.000   20.000    0.020
R    86 -180.000   20.000    0.019
R    87 -180.000   20.000    0.019
R    88 -180.000   20.000    0.019
R    89 -180.000   20.000    0.014
R    90 -180.000   20.000    0.013
R    91 -180.000   20.000    0.008
R    92 -180.000   20.000    0.007
R    93 -180.000   20.000    0.002
R    94 -180.000   20.000    0.005
R    95 -180.000   20.000    0.005
R    96 -180.000   20.000    0.006
R    97 -180.000   20.000    0.006
R    98 -180.000   20.000    0.006
R    99 -180.000   20.000    0.006
R   100 -180.000   20.000    0.006
R   101 -180.000   20.000    0.006
R   102 -180.000   20.000    0.006
R   103 -180.000   20.000    0.006
R   104 -180.000   20.000    0.006
R   105 -180.000   20.000    0.006
R   106 -180.000   20.000    0.006
R   107 -180.000   20.000    0.006
R   108 -180.000   20.000    0.006
R   109 -180.000   20.000    0.008
R   110 -180.000   20.000    0.007
R   111 -180.000   20.000    0.007
R   112 -180.000   20.000    0.006
R   113 -180.000   20.000    0.005
R   114 -180.000   20.000    0.005
R   115 -180.000   20.000    0.003
R   116 -180.000   20.000    0.003
R   117 -180.000   20.000    0.002
R     0 -180.000   60.000    0.005
R     1 -180.000   60.000    0.005
R     2 -180.000   60.000    0.005
R     3 -180.000   60.000    0.005
R     4 -180.000   60.000    0.005
R     5 -180.000   60.000    0.005
R     6 -180.000   60.000    0.005
R     7 -180.000   60.000    0.005
R     8 -180.000   60.000    0.005
R     9 -180.000   60.000    0.005
R    10 -180.000   60.000    0.005
R    11 -180.000   60.000    0.005
R    12 -180.000   60.000    0.005
R    13 -180.000   60.000    0.005
R    14 -180.000   60.000    0.005
R    15 -180.000   60.000    0.005
R    16 -180.000   60.000    0.005
R    17 -180.000   60.000    0.005
R    18 -180.000   60.000    0.005
R    19 -180.000   60.000    0.005
R    20 -180.000   60.000    0.005
R    21 -180.000   60.000    0.005
R    22 -180.000   60.000    0.005
R    23 -180.000   60.000    0.005
R    24 -180.000   60.000    0.005
R    25 -180.000   60.000    0.005
R    26 -180.000   60.000    0.004
R    27 -180.000   60.000    0.003
R    28 -180.000   60.000    0.003
R    29 -180.000   60.000    0.003
R    30 -180.000   60.000    0.002
R    31 -180.000   60.000    0.002
R    32 -180.000   60.000    0.002
R    33 -180.000   60.000    0.001
R    34 -180.000   60.000    0.001
R    35 -180.000   60.000    0.001
R    38 -180.000   60.000    0.000
R    39 -180.000   60.000    0.001
R    40 -180.000   60.000    0.001
R    41 -180.000   60.000    0.002
R    42 -180.000   60.000    0.004
R    43 -180.000   60.000    0.006
R    44 -180.000   60.000    0.006
R    45 -180.000   60.000    0.006
R    46 -180.000   60.000    0.009
R    47 -180.000   60.000    0.009
R    48 -180.000   60.000    0.010
R    49 -180.000   60.000    0.010
R    50 -180.000   60.000    0.011
R    51 -180.000   60.000    0.011
R    52 -180.000   60.000    0.012
R    53 -180.000   60.000    0.015
R    54 -180.000   60.000    0.015
R    55 -180.000   60.000    0.015
R    56 -180.000   60.000    0.015
R    57 -180.000   60.000    0.015
R    58 -180.000   60.000    0.016
R    59 -180.000   60.000    0.016
R    60 -180.000   60.000    0.016
R    61 -180.000   60.000    0.016
R    62 -180.000   60.000    0.016
R    63 -180.000   60.000    0.016
R    64 -180.000   60.000    0.016
R    65 -180.000   60.000    0.016
R    66 -180.000   60.000    0.016
R    67 -180.000   60.000    0.016
R    68 -180.000   60.000    0.016
R    69 -180.000   60.000    0.016
R    70 -180.000   60.000    0.016
R    71 -180.000   60.000    0.016
R    72 -180.000   60.000    0.016
R    73 -180.000   60.000    0.017
R    74 -180.000   60.000    0.017
R    75 -180.000   60.000    0.017
R    76 -180.000   60.000    0.017
R    77 -180.000   60.000    0.017
R    78 -180.000   60.000    0.017
R    79 -180.000   60.000    0.017
R    80 -180.000   60.000    0.017
R    81 -180.000   60.000    0.017
R    82 -180.000   60.000    0.017
R    83 -180.000   60.000    0.017
R    84 -180.000   60.000    0.017
R    85 -180.000   60.000    0.017
R    86 -180.000   60.000    0.017
R    87 -180.000   60.000    0.016
R    88 -180.000   60.000    0.016
R    89 -180.000   60.000    0.012
R    90 -180.000   60.000    0.011
R    91 -180.000   60.000    0.008
R    92 -180.000   60.000    0.007
R    93 -180.000   60.000    0.002
R    94 -180.000   60.000    0.003
R    95 -180.000   60.000    0.003
R    96 -180.000   60.000    0.003
R    97 -180.000   60.000    0.003
R    98 -180.000   60.000    0.003
R    99 -180.000   60.000    0.003
R   100 -180.000   60.000    0.003
R   101 -180.000   60.000    0.003
R   102 -180.000   60.000    0.003
R   103 -180.000   60.000    0.003
R   104 -180.000   60.000    0.003
R   105 -180.000   60.000    0.003
R   106 -180.000   60.000    0.003
R   107 -180.000   60.000    0.003
R   108 -180.000   60.000    0.003
R   109 -180.000   60.000    0.004
R   110 -180.000   60.000    0.003
R   111 -180.000   60.000    0.003
R   112 -180.000   60.000    0.002
R   113 -180.000   60.000    0.002
R   114 -180.000   60.000    0.002
R   115 -180.000   60.000    0.001
R   116 -180.000   60.000    0.001
R   117 -180.000   60.000    0.001
R   119 -180.000   60.000    0.003
R   120 -180.000   60.000    0.003
R   121 -180.000   60.000    0.004
R   122 -180.000   60.000    0.004
R   123 -180.000   60.000    0.004
R   124 -180.000   60.000    0.004
R   125 -180.000   60.000    0.004
R   126 -180.000   60.000    0.004
R   127 -180.000   60.000    0.004
R   128 -180.000   60.000    0.004
R   129 -180.000   60.000    0.004
R   130 -180.000   60.000    0.004
R   131 -180.000   60.000    0.004
R   132 -180.000   60.000    0.005
R   133 -180.000   60.000    0.005
R   134 -180.000   60.000    0.005
R     0 -180.000  100.000    0.007
R     1 -180.000  100.000    0.007
R     2 -180.000  100.000    0.007
R     3 -180.000  100.000    0.007
R     4 -180.000  100.000    0.007
R     5 -180.000  100.000    0.007
R     6 -180.000  100.000    0.007
R     7 -180.000  100.000    0.007
R     8 -180.000  100.000    0.007
R     9 -180.000  100.000    0.007
R    10 -180.000  100.000    0.007
R    11 -180.000  100.000    0.007
R    12 -180.000  100.000    0.008
R    13 -180.000  100.000    0.008
R    14 -180.000  100.000    0.008
R    15 -180.000  100.000    0.008
R    16 -180.000  100.000    0.007
R    17 -180.000  100.000    0.007
R    18 -180.000  100.000    0.007
R    19 -180.000  100.000    0.007
R    20 -180.000  100.000    0.007
R    21 -180.000  100.000    0.007
R    22 -180.000  100.000    0.007
R    23 -180.000  100.000    0.007
R    24 -180.000  100.000    0.007
R    25 -180.000  100.000    0.007
R    26 -180.000  100.000    0.006
R    27 -180.000  100.000    0.004
R    28 -180.000  100.000    0.004
R    29 -180.000  100.000    0.004
R    30 -180.000  100.000    0.003
R    31 -180.000  100.000    0.003
R    32 -180.000  100.000    0.002
R    33 -180.000  100.000    0.001
R    34 -180.000  100.000    0.001
R    35 -180.000  100.000    0.000
R    36 -180.000  100.000    0.000
R    37 -180.000  100.000    0.000
R    38 -180.000  100.000    0.001
R    39 -180.000  100.000    0.002
R    40 -180.000  100.000    0.002
R    41 -180.000  100.000    0.003
R    42 -180.000  100.000    0.004
R    43 -180.000  100.000    0.005
R    44 -180.000  100.000    0.005
R    45 -180.000  100.000    0.005
R    46 -180.000  100.000    0.007
R    47 -180.000  100.000    0.008
R    48 -180.000  100.000    0.009
R    49 -180.000  100.000    0.009
R    50 -180.000  100.000    0.010
R    51 -180.000  100.000    0.010
R    52 -180.000  100.000    0.011
R    53 -180.000  100.000    0.012
R    54 -180.000  100.000    0.012
R    55 -180.000  100.000    0.012
R    56 -180.000  100.000    0.012
R    57 -180.000  100.000    0.012
R    58 -180.000  100.000    0.013
R    59 -180.000  100.000    0.013
R    60 -180.000  100.000    0.013
R    61 -180.000  100.000    0.014
