0.59083,-0.58737,0.55310
0.25703,-0.61181,-0.74808
-0.19636,-0.58669,0.78564
0.01725,-0.80735,0.58982
0.87202,-0.01212,-0.48932
-0.85527,-0.29002,0.42942
-0.87312,0.45613,0.17208
0.46644,0.78407,-0.40947
-0.58492,0.65789,0.47439
0.86948,-0.21889,-0.44282
0.68428,0.62955,0.36800
-0.75350,0.46952,-0.46020
0.82848,0.19880,-0.52355
0.01538,0.11557,-0.99318
-0.70373,-0.66819,-0.24140
0.74337,-0.56146,0.36354
0.38073,0.52990,-0.75780
0.00245,-0.47879,0.87793
0.97995,-0.19232,-0.05209
-0.14659,-0.58920,-0.79458
-0.69871,0.47631,0.53378
-0.01010,0.65901,-0.75206
0.73413,-0.42184,0.53207
0.42992,-0.07059,-0.90010
0.91232,0.31396,0.26287
-0.00664,-0.27324,0.96192
0.68937,0.70589,0.16275
0.86548,-0.37617,0.33082
0.06449,-0.69457,-0.71653
0.67509,-0.70192,-0.22707
-0.16683,-0.19817,-0.96587
-0.35094,-0.50195,-0.79050
-0.33259,-0.67784,-0.65568
0.44595,0.58116,0.68072
-0.33783,0.16497,-0.92664
-0.95853,0.27465,0.07609
0.19315,-0.33241,0.92315
-0.94588,0.29138,-0.14287
0.52431,-0.21851,0.82301
0.24104,-0.21928,-0.94542
-0.35084,0.52122,0.77797
0.14649,0.94821,0.28185
0.99197,-0.05269,0.11499
-0.06232,0.91280,0.40363
-0.31998,-0.02173,0.94717
0.88611,0.43546,-0.15867
-0.32149,-0.90134,0.29023
-0.82785,0.41633,0.37594
-0.57460,-0.28356,0.76774
0.21565,-0.78497,-0.58079
-0.53028,-0.79938,-0.28247
-0.95261,-0.30074,-0.04565
-0.36786,-0.78407,0.49992
0.50148,0.84707,-0.17605
0.13501,-0.10344,0.98543
0.41656,-0.83675,0.35543
-0.00568,0.63611,0.77158
0.88873,0.00922,0.45833
-0.29548,0.39876,-0.86815
-0.09308,-0.93197,-0.35038
0.54163,-0.72165,-0.43111
